niche,temp_C,actual_moist_group,mean_nmol_c2h4_g_hr,log_mean_c2h4,geomean_nmol_c2h4_g_hr,sd,n,mean_moist,sd_moist,sem
Litter,5,"(159,231]",0.00734648577777777,-10.535506790615194,2.6575872820275377e-5,0.02203945733333333,9,188.3031985,11.64370285836856,0.007346485777777777
Litter,5,"(55.3,92.7]",0,-11.512925464970229,9.999999999999996e-6,0,12,70.92310126,10.7752489376525,0
Litter,5,"(92.7,159]",0,-11.512925464970229,9.999999999999996e-6,0,9,135.72087136666667,9.544534076796149,0
Litter,5,"[34,55.3]",0,-11.512925464970229,9.999999999999996e-6,0,6,48.83826251166667,2.8050722624641553,0
Litter,15,"(159,231]",0.0036867204,-10.69164908813488,2.273399701195406e-5,0.01165843356020703,10,182.29284616,20.76897901176085,0.003686720399999999
Litter,15,"(55.3,92.7]",0,-11.512925464970229,9.999999999999996e-6,0,9,65.8563130888889,9.37745845477994,0
Litter,15,"(92.7,159]",0,-11.512925464970229,9.999999999999996e-6,0,8,127.98908253375,16.18582635043375,0
Litter,15,"[34,55.3]",0,-11.512925464970229,9.999999999999996e-6,0,8,46.64588392,6.449375696774774,0
Litter,25,"(159,231]",0,-11.512925464970229,9.999999999999996e-6,0,8,194.2898043625,9.853339207668936,0
Litter,25,"(55.3,92.7]",0,-11.512925464970229,9.999999999999996e-6,0,7,67.26241864571429,9.430601186918706,0
Litter,25,"(92.7,159]",0.04563866333333333,-9.331668408064363,8.857433561455906e-5,0.10177424505421814,9,127.7847655111111,12.457143852472928,0.03392474835140605
Litter,25,"[34,55.3]",0,-11.512925464970229,9.999999999999996e-6,0,11,45.205963782727274,7.727148895936051,0
Litter,35,"(159,231]",0.5314016392222222,-0.9379978951938602,0.391410696648777,0.3441674955487795,9,191.92984903333337,17.559620274141515,0.11472249851625983
Litter,35,"(55.3,92.7]",0.3612620084285714,-1.1308870169512528,0.32274684749155513,0.2080273694904332,7,64.49388952285715,3.838246070612305,0.07862695508094739
Litter,35,"(92.7,159]",0.5765618956666667,-0.78454311521838,0.4563281435492911,0.3384288698940095,9,131.9265802222222,13.000442579638916,0.11280962329800316
Litter,35,"[34,55.3]",0.1595839798181818,-6.064312252480657,0.00232435603504682,0.21290161594327975,11,43.750545133636365,6.3457286458796185,0.06419225248583692
Soil,5,"(25,48.4]",0,-11.512925464970229,9.999999999999996e-6,0,8,29.77904711,1.788770872455264,0
Soil,5,"(48.4,69.6]",0,-11.512925464970229,9.999999999999996e-6,0,9,54.15591974777778,1.4497090817121308,0
Soil,5,"(69.6,115]",0.0072793135,-10.429197966129337,2.9556763231739138e-5,0.02058900775293112,8,106.5099858,4.309262671042393,0.007279313499999997
Soil,5,"[13.9,25]",0.0062776306666666604,-10.049316019065191,4.321529739345029e-5,0.01848449635694771,9,16.59569990111111,1.3652634493187483,0.006161498785649237
Soil,15,"(25,48.4]",0.01436126611111111,-10.461035814085076,2.8630561862654667e-5,0.04308379833333333,9,30.501317342222222,2.0685644397264675,0.014361266111111111
Soil,15,"(48.4,69.6]",0,-11.512925464970229,9.999999999999996e-6,0,9,54.128269457777776,3.002952143294695,0
Soil,15,"(69.6,115]",0,-11.512925464970229,9.999999999999996e-6,0,9,105.40252322,3.374747082051318,0
Soil,15,"[13.9,25]",0.002965134,-10.636293060090312,2.4027944276394523e-5,0.008895402,9,15.831890123333332,1.4704592612097165,0.002965134
Soil,25,"(25,48.4]",0,-11.512925464970229,9.999999999999996e-6,0,9,31.134821384444447,0.9797385244126614,0
Soil,25,"(48.4,69.6]",8.048225555555555e-4,-10.781076473410115,2.078920963502913e-5,0.00241446766666666,9,54.009863603333336,2.445490556842258,8.048225555555532e-4
Soil,25,"(69.6,115]",4.836731111111111e-4,-10.837553979009504,1.9647627221836637e-5,0.00145101933333333,9,104.60310576666669,1.9220468545296892,4.8367311111110995e-4
Soil,25,"[13.9,25]",0,-11.512925464970229,9.999999999999996e-6,0,8,16.18451237875,1.1634910857542746,0
Soil,35,"(25,48.4]",0,-11.512925464970229,9.999999999999996e-6,0,9,32.99976047,5.3552324604569295,0
Soil,35,"(48.4,69.6]",0,-11.512925464970229,9.999999999999996e-6,0,8,56.15280593125,1.7877354749259449,0
Soil,35,"(69.6,115]",0,-11.512925464970229,9.999999999999996e-6,0,9,106.73625461111112,3.298824749635199,0
Soil,35,"[13.9,25]",0.28875419244444445,-8.919631113206233,1.337375697164831e-4,0.6389553638320096,9,15.928081028888888,1.115121793309644,0.21298512127733651
Wood,5,"(168,230]",0,-11.512925464970229,9.999999999999996e-6,0,12,197.84212203333337,19.48540764281703,0
Wood,5,"(230,462]",0.007706995,-10.751899355399658,2.140471452272747e-5,0.0266978138273586,12,323.652555875,61.06458977250988,0.007706995
Wood,5,"(76.7,168]",0.03924938785714286,-10.05277509642974,4.306607057877704e-5,0.10384411938151834,7,127.30807652142856,36.15393863584401,0.03924938785714286
Wood,5,"[27.7,76.7]",0.0151290204,-9.726654451746986,5.967159468316095e-5,0.03382951804738106,5,61.226792062,7.533846862003975,0.0151290204
Wood,15,"(168,230]",0.05729584366666666,-4.172782539462501,0.01540932336464666,0.03245944267820275,6,212.81148316666668,19.024844638723327,0.013251511982786028
Wood,15,"(230,462]",0.03231452411111111,-8.644711089397093,1.7605553210010234e-4,0.07589537009819906,9,331.79671153333334,83.61974789590906,0.025298456699399688
Wood,15,"(76.7,168]",0.002876992,-9.328044072629233,8.889594116892784e-5,0.00547643898420836,6,142.41646429833332,31.297032308427724,0.0022357468531327175
Wood,15,"[27.7,76.7]",0.01536621715384615,-8.352634694875423,2.357745054999213e-4,0.02304931246312319,13,55.350131655384615,19.022606013206065,0.006392729073075527
Wood,25,"(168,230]",0.184069512125,-4.366244185888472,0.0126988456177575,0.1935928195925866,8,198.9230818625,17.87337526759303,0.06844539776147095
Wood,25,"(230,462]",0.07045347119999999,-4.517834754451979,0.01091262662244904,0.07384215909424964,5,292.6012903,59.08588302195959,0.0330232174680193
Wood,25,"(76.7,168]",0.17121236115384617,-6.3859637579667075,0.00168504373846837,0.2649335195092014,13,130.2774782846154,25.28701143490285,0.0734793376291973
Wood,25,"[27.7,76.7]",0.03979846033333333,-8.472615964725454,2.0911714414355203e-4,0.08122199110459767,9,51.82346605222222,13.419882924000824,0.02707399703486589
Wood,35,"(168,230]",0.20176381222222223,-6.789969989617646,0.00112500253542447,0.27498623603618527,9,199.54261024444443,17.58249805199465,0.09166207867872843
Wood,35,"(230,462]",0.19880534944444445,-4.764672262625639,0.00852568196919455,0.2099127955195896,9,318.70556623333334,64.6759601895391,0.0699709318398632
Wood,35,"(76.7,168]",0.09889927133333332,-8.400245202342182,2.248121929437096e-4,0.26233923832991485,9,114.23078228555556,21.612240881100476,0.08744641277663828
Wood,35,"[27.7,76.7]",0.01094352044444444,-10.491231706029485,2.7778958675344032e-5,0.03283056133333333,9,66.53265994444445,7.0748439289236025,0.010943520444444443
