"Site","bm_1000h_Class3_Mg_ha","bm_1000h_Class45_Mg_ha"
"84blowdn",32.5004373333333,19.4277688888889
"BiscBas",36.965336,23.0103424444444
"CascCk",78.3278293333333,13.9122316666667
"CascMeaN",107.313976,30.1122461111111
"CascMeaS",139.503522666667,29.0109228888889
"CygLkNo",124.177362666667,16.3671767777778
"FirLopSo",45.3933306666667,11.1619977777778
"FounEast",11.1457546666667,18.6280515555556
"GibFalls",24.6619493333333,10.6620297777778
"GravPit",45.3588773333333,22.8550427777778
"LewCan",37.826112,37.8314906666667
"PitchHOB",26.9103333333333,38.0047048888889
"RidLkHO",84.985328,29.1395797777778
"SoLewCan",51.7986613333333,45.079363
